iter	Passed	Remaining
0	17	8883
1	36	9088
2	54	8887
3	72	8883
4	88	8702
5	105	8589
6	121	8485
7	138	8422
8	153	8321
9	169	8216
10	184	8149
11	201	8115
12	217	8069
13	233	8041
14	251	8051
15	267	8019
16	284	8014
17	300	7988
18	317	7981
19	333	7948
20	350	7920
21	366	7895
22	382	7872
23	399	7855
24	415	7832
25	432	7812
26	448	7784
27	466	7796
28	482	7776
29	498	7749
30	515	7726
31	531	7708
32	548	7694
33	564	7669
34	581	7659
35	598	7645
36	615	7641
37	632	7626
38	649	7607
39	670	7643
40	687	7630
41	703	7609
42	720	7590
43	737	7573
44	753	7552
45	769	7530
46	786	7511
47	802	7487
48	817	7460
49	834	7440
50	850	7420
51	866	7401
52	884	7394
53	901	7382
54	918	7368
55	935	7351
56	951	7331
57	968	7313
58	984	7293
59	1000	7272
60	1017	7256
61	1033	7232
62	1049	7212
63	1066	7199
64	1084	7194
65	1101	7179
66	1119	7166
67	1136	7156
68	1154	7142
69	1170	7126
70	1187	7106
71	1203	7084
72	1220	7070
73	1240	7072
74	1258	7065
75	1277	7058
76	1295	7051
77	1312	7035
78	1329	7016
79	1346	7003
80	1363	6983
81	1378	6960
82	1395	6943
83	1411	6922
84	1427	6904
85	1445	6889
86	1461	6872
87	1478	6856
88	1496	6843
89	1513	6828
90	1530	6811
91	1547	6793
92	1563	6776
93	1580	6760
94	1597	6742
95	1613	6724
96	1630	6707
97	1646	6686
98	1662	6668
99	1679	6652
100	1696	6635
101	1713	6620
102	1730	6602
103	1746	6583
104	1763	6567
105	1780	6549
106	1796	6532
107	1813	6514
108	1830	6497
109	1846	6480
110	1863	6462
111	1879	6443
112	1896	6427
113	1915	6418
114	1932	6403
115	1949	6386
116	1966	6370
117	1982	6350
118	1999	6333
119	2015	6315
120	2032	6297
121	2048	6280
122	2065	6262
123	2081	6243
124	2097	6226
125	2115	6210
126	2132	6197
127	2150	6182
128	2166	6164
129	2183	6148
130	2200	6132
131	2217	6115
132	2234	6098
133	2251	6083
134	2268	6066
135	2286	6051
136	2303	6036
137	2322	6025
138	2340	6011
139	2357	5995
140	2374	5977
141	2390	5959
142	2407	5942
143	2434	5949
144	2450	5932
145	2467	5915
146	2484	5898
147	2500	5879
148	2517	5863
149	2534	5846
150	2551	5830
151	2568	5812
152	2585	5795
153	2602	5779
154	2620	5764
155	2637	5747
156	2654	5731
157	2672	5716
158	2689	5699
159	2705	5682
160	2722	5663
161	2739	5648
162	2756	5632
163	2773	5615
164	2790	5597
165	2807	5580
166	2823	5563
167	2840	5546
168	2857	5529
169	2875	5513
170	2891	5496
171	2908	5478
172	2924	5460
173	2942	5444
174	2959	5429
175	2977	5413
176	2993	5395
177	3010	5378
178	3027	5360
179	3044	5344
180	3061	5327
181	3078	5311
182	3094	5293
183	3112	5277
184	3129	5261
185	3148	5248
186	3166	5232
187	3183	5215
