iter	Passed	Remaining
0	24	4853
1	48	4759
2	72	4770
3	97	4759
4	121	4720
5	144	4663
6	169	4661
7	194	4664
8	219	4651
9	242	4605
10	266	4583
11	290	4549
12	314	4518
13	337	4486
14	362	4467
15	386	4446
16	411	4425
17	435	4406
18	460	4385
19	485	4367
20	509	4343
21	540	4374
22	565	4354
23	591	4335
24	616	4313
25	640	4285
26	665	4261
27	689	4234
28	713	4206
29	737	4179
30	762	4155
31	790	4148
32	814	4123
33	839	4097
34	863	4070
35	887	4045
36	910	4012
37	934	3983
38	957	3953
39	983	3932
40	1008	3910
41	1032	3885
42	1058	3864
43	1082	3839
44	1106	3812
45	1131	3788
46	1156	3764
47	1180	3738
48	1206	3719
49	1231	3693
50	1256	3671
51	1280	3645
52	1305	3620
53	1330	3598
54	1355	3573
55	1379	3546
56	1404	3524
57	1429	3499
58	1453	3473
59	1478	3448
60	1502	3423
61	1525	3396
62	1550	3370
63	1574	3345
64	1599	3322
65	1624	3298
66	1648	3272
67	1673	3247
68	1697	3222
69	1720	3195
70	1745	3170
71	1768	3144
72	1793	3121
73	1819	3098
74	1844	3073
75	1868	3048
76	1892	3022
77	1915	2996
78	1939	2970
79	1964	2946
80	1989	2922
81	2015	2899
82	2039	2875
83	2063	2850
84	2088	2825
85	2111	2798
86	2136	2774
87	2160	2749
88	2183	2723
89	2215	2708
90	2240	2683
91	2264	2657
92	2287	2632
93	2311	2606
94	2336	2582
95	2360	2557
96	2384	2532
97	2409	2508
98	2434	2484
99	2458	2458
100	2482	2433
101	2505	2407
102	2528	2381
103	2552	2356
104	2576	2331
105	2600	2305
106	2627	2283
107	2652	2259
108	2675	2233
109	2699	2208
110	2722	2183
111	2747	2158
112	2770	2132
113	2795	2109
114	2820	2084
115	2845	2060
116	2868	2034
117	2893	2010
118	2916	1985
119	2940	1960
120	2963	1935
121	2988	1910
122	3012	1885
123	3038	1862
124	3062	1837
125	3086	1812
126	3109	1787
127	3134	1763
128	3159	1739
129	3183	1714
130	3207	1689
131	3231	1664
132	3256	1640
133	3281	1616
134	3305	1591
135	3328	1566
136	3352	1541
137	3376	1516
138	3400	1492
139	3424	1467
140	3449	1443
141	3474	1418
142	3498	1394
143	3522	1369
144	3546	1345
145	3569	1320
146	3594	1295
147	3617	1271
148	3642	1246
149	3666	1222
150	3692	1198
151	3717	1173
152	3741	1149
153	3765	1124
154	3789	1100
155	3813	1075
156	3838	1051
157	3862	1026
158	3888	1002
159	3914	978
160	3937	953
161	3961	929
162	3985	904
163	4009	880
164	4033	855
165	4058	831
166	4083	807
167	4108	782
168	4132	757
169	4155	733
170	4179	708
171	4202	684
172	4226	659
173	4251	635
174	4276	610
175	4300	586
176	4323	561
177	4346	537
178	4371	512
179	4394	488
180	4419	463
181	4444	439
182	4468	415
183	4492	390
184	4522	366
185	4548	342
186	4572	317
187	4596	293
188	4619	268
189	4644	244
190	4667	219
191	4691	195
192	4716	171
193	4742	146
194	4766	122
195	4790	97
196	4814	73
197	4838	48
198	4861	24
199	4884	0
